statistics_code,time,1_variable_code,2_variable_attribute_code,value,value_unit,value_variable_code,value_variable_label
23131,2014,DINSG,ICD10-I80-I89,166706,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-C50-C50,130529,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-M05-M14,60602,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-R40-R46,91138,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-Q00-Q07,3376,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-R30-R39,38159,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-L10-L14,5907,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-F20-F29,117071,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-U55-U55,-,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-G80-G83,17929,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-P80-P83,3789,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-C51-C58,71170,Anzahl,GES025,Entlassene Patienten
23131,2023,DINSG,ICD10-D00-D09,32421,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-Q30-Q34,2440,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-S90-S99,36994,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-P70-P74,12901,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-A80-A89,5505,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-C60-C63,84783,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-A65-A69,6077,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-E10-E14,207485,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-T08-T14,1720,Anzahl,GES025,Entlassene Patienten
23131,2023,DINSG,ICD10-I00-I02,2486,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-T90-T98,22,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-Z70-Z76,3730,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-Z20-Z29,4480,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-P20-P29,42155,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-S40-S49,154983,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-J30-J39,271258,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-K90-K93,67037,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-C43-C44,115755,Anzahl,GES025,Entlassene Patienten
23131,2023,DINSG,ICD10-N30-N39,262437,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-O60-O75,314439,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-O85-O92,12189,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-E40-E46,2027,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-S10-S19,31143,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-C69-C72,29860,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-I10-I15,220449,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-H60-H62,8158,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-L55-L59,3480,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-Z00-Z13,66871,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-Z40-Z54,58548,Anzahl,GES025,Entlassene Patienten
23131,2023,DINSG,ICD10-Q50-Q56,11431,Anzahl,GES025,Entlassene Patienten
23131,2023,DINSG,ICD10-Q10-Q18,7962,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-J80-J84,23346,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-C97-C97,-,Anzahl,GES025,Entlassene Patienten
23131,2023,DINSG,ICD10-M80-M85,55212,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-M00-M03,18877,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-I30-I52,1131817,Anzahl,GES025,Entlassene Patienten
23131,2023,DINSG,ICD10-H49-H52,11773,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-D70-D77,9124,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-F80-F89,8615,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-B65-B83,1071,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-B85-B89,1693,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-P10-P15,2358,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-D65-D69,11226,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-D60-D64,30166,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-A30-A49,238720,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-L60-L75,18461,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-K65-K67,24871,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-F90-F98,30403,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-C00-C14,50754,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-D10-D36,212492,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-E00-E07,77813,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-L20-L30,26598,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-Z80-Z99,7655,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-C30-C39,216458,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-J09-J18,356227,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-M05-M14,44420,Anzahl,GES025,Entlassene Patienten
23131,2023,DINSG,ICD10-A65-A69,5476,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-K50-K52,77251,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-J85-J86,11558,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-N99-N99,9812,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-H30-H36,74900,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-H65-H75,39671,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-I80-I89,106287,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-J85-J86,12229,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-S50-S59,144707,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-F20-F29,134232,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-U55-U55,-,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-D00-D09,30525,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-F50-F59,13236,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-C51-C58,69741,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-P80-P83,3764,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-C15-C26,321161,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-I00-I02,514,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-P70-P74,9129,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-P05-P08,79105,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-T51-T65,21001,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-O00-O08,41171,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-C40-C41,8391,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-T08-T14,3222,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-M50-M54,429223,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-Z70-Z76,2829,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-G50-G59,41026,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-K35-K38,114866,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-P20-P29,34238,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-O85-O92,13409,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-E65-E68,28092,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-T90-T98,14,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-S00-S09,403808,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-I26-I28,70547,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-R90-R94,13628,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-L80-L99,45207,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-H55-H59,2134,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-M00-M03,14548,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-N10-N16,182036,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-B25-B34,31095,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-L55-L59,2744,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-J30-J39,183787,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-U80-U85,-,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-T51-T65,19440,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-G00-G09,16792,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-J09-J18,347169,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-J95-J99,50971,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-S60-S69,59461,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-R25-R29,46362,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-T90-T98,24,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-B85-B89,7788,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-H10-H13,3642,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-B90-B94,2,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,UNBEKANNT,905,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-M00-M03,13522,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-U50-U52,198,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-C40-C41,7743,Anzahl,GES025,Entlassene Patienten
23131,2023,DINSG,ICD10-F50-F59,14698,Anzahl,GES025,Entlassene Patienten
23131,2023,DINSG,ICD10-K80-K87,351082,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-T33-T35,169,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-K65-K67,19745,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-E50-E64,3295,Anzahl,GES025,Entlassene Patienten
23131,2023,DINSG,ICD10-D55-D59,6074,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-E15-E16,2967,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-M80-M85,63701,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-S90-S99,29326,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-R20-R23,32306,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-L20-L30,40345,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-E40-E46,1397,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-O00-O08,46132,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-P50-P61,20914,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-B15-B19,2883,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-L00-L08,143839,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-C97-C97,-,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-C45-C49,26667,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-P35-P39,17176,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-J09-J18,320939,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-F50-F59,15706,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-U50-U52,28,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-O20-O29,119710,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-Z70-Z76,2885,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-F30-F39,289577,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-P90-P96,12333,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-O85-O92,14775,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-B99-B99,33701,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-I70-I79,237529,Anzahl,GES025,Entlassene Patienten
23131,2023,DINSG,ICD10-T90-T98,12,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-F50-F59,17695,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-M50-M54,286915,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-R80-R82,429,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-I95-I99,45879,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-U00-U49,-,Anzahl,GES025,Entlassene Patienten
23131,2023,DINSG,ICD10-K55-K64,428934,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-O00-O08,45622,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-A15-A19,6527,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-G00-G09,17615,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-Q35-Q37,4329,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-F40-F48,128216,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-G30-G32,23627,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-N00-N08,8447,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-C73-C75,19939,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-H25-H28,99253,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-M30-M36,44918,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-A20-A28,779,Anzahl,GES025,Entlassene Patienten
23131,2023,DINSG,ICD10-J00-J06,93913,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-E20-E35,14701,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-S70-S79,207049,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-M70-M79,202924,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-R50-R69,278739,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-J40-J47,194111,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-T20-T32,17752,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-G30-G32,26296,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-Q60-Q64,7086,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-A90-A99,834,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-J60-J70,38191,Anzahl,GES025,Entlassene Patienten
23131,2023,DINSG,ICD10-N70-N77,20098,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-T80-T88,282619,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-G70-G73,10574,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-M20-M25,178527,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-S20-S29,94958,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-B20-B24,1024,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-O30-O48,277737,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-M30-M36,45051,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-G40-G47,326657,Anzahl,GES025,Entlassene Patienten
23131,2023,DINSG,ICD10-O80-O84,149548,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-H25-H28,101913,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-Z55-Z65,73,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-R95-R99,129,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-I20-I25,647893,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-L00-L08,142875,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-A15-A19,8026,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-M86-M90,26204,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-H40-H42,63771,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-G70-G73,10116,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-M65-M68,18212,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-N10-N16,165056,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-G90-G99,37418,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-J60-J70,38155,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-F70-F79,6534,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-Q00-Q07,3092,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-E70-E90,207806,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-Q10-Q18,9732,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-S70-S79,222933,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-A90-A99,379,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-C60-C63,99094,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-J00-J06,55385,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-H46-H48,8848,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-H43-H45,11046,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-B00-B09,38205,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-E50-E64,3161,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-M70-M79,187803,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-M60-M63,17007,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-Q10-Q18,9270,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-O10-O16,24227,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-L10-L14,6128,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-Q30-Q34,2027,Anzahl,GES025,Entlassene Patienten
23131,2023,DINSG,ICD10-S20-S29,94715,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-K80-K87,339175,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-R47-R49,4013,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-B90-B94,5,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-R50-R69,253439,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-K40-K46,255746,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-H55-H59,2174,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-K00-K14,65129,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-R95-R99,70,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-G35-G37,37408,Anzahl,GES025,Entlassene Patienten
23131,2023,DINSG,ICD10-M15-M19,470644,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-C51-C58,73231,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-T66-T78,34190,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-Q30-Q34,2329,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-Q65-Q79,23362,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-O94-O99,41004,Anzahl,GES025,Entlassene Patienten
23131,2023,DINSG,ICD10-U55-U55,1,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-G30-G32,23595,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-B65-B83,1418,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-F80-F89,7817,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-N25-N29,6071,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-G80-G83,18809,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-S00-S09,421060,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-Z80-Z99,7515,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-R50-R69,206593,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-N60-N64,18901,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-M86-M90,31018,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-O60-O75,344978,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-N00-N08,7218,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-N99-N99,10050,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-T33-T35,157,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-H49-H52,14776,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-F60-F69,40292,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-N20-N23,111451,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-G20-G26,66149,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-D37-D48,95695,Anzahl,GES025,Entlassene Patienten
23131,2023,DINSG,ICD10-F60-F69,44124,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-F40-F48,163742,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-P00-P04,4316,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-S10-S19,24978,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-T36-T50,24189,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-R30-R39,37677,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-G40-G47,453692,Anzahl,GES025,Entlassene Patienten
23131,2023,DINSG,ICD10-Q00-Q07,2867,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-G70-G73,9370,Anzahl,GES025,Entlassene Patienten
